,sentiment,partisan_lean,state,Age.Percent Under 5 Years,Age.Percent Under 18 Years,Age.Percent 65 and Older,Miscellaneous.Percent Female,Ethnicities.White Alone,Ethnicities.Black Alone,Ethnicities.Hispanic or Latino,Education.Bachelor's Degree or Higher,date,state percent vaccinated,state_rate_0,state_rate-7,state_rate+7,state_rate+14,US percent vaccinated,US_rate_0,US_rate-7,US_rate+7,US_rate+14,lottery
197,1.0,0.4250657174436865,Kansas,6.4,24.0,16.3,50.2,86.3,6.1,12.2,33.4,2021-06-21,48.53,2159.0,2187.0,1770.0,1402.0,54.43,2219.0,2990.0,1844.0,1418.0,0
33,0.4681818181818182,0.6171683489301224,New York,5.8,20.7,16.9,51.4,69.6,17.6,19.3,36.6,2021-05-02,48.29,9161.0,8821.0,7737.0,6565.0,46.38,7335.0,8289.0,6104.0,5671.0,False
37,0.0,0.6171683489301224,New York,5.8,20.7,16.9,51.4,69.6,17.6,19.3,36.6,2021-05-02,48.29,9161.0,8821.0,7737.0,6565.0,46.38,7335.0,8289.0,6104.0,5671.0,False
47,0.56875,0.6490891136066756,California,6.0,22.5,14.8,50.3,71.9,6.5,39.4,33.9,2021-05-02,49.59,8628.0,9786.0,6959.0,7250.0,46.38,7335.0,8289.0,6104.0,5671.0,False
50,0.2464285714285714,0.5011932966290864,Georgia,6.2,23.6,14.3,51.4,60.2,32.6,9.9,31.3,2021-05-02,35.37,7212.0,6216.0,4564.0,3440.0,46.38,7335.0,8289.0,6104.0,5671.0,0
69,-0.45,0.5830715698544173,Oregon,5.4,20.5,18.2,50.4,86.7,2.2,13.4,33.7,2021-05-02,45.39,8909.0,9452.0,8725.0,8158.0,46.38,7335.0,8289.0,6104.0,5671.0,False
73,0.35,0.5830715698544173,Oregon,5.4,20.5,18.2,50.4,86.7,2.2,13.4,33.7,2021-05-02,45.39,8909.0,9452.0,8725.0,8158.0,46.38,7335.0,8289.0,6104.0,5671.0,False
75,0.25,0.551546869993999,Virginia,5.9,21.8,15.9,50.8,69.4,19.9,9.8,38.8,2021-05-02,47.8,9286.0,10012.0,6804.0,6501.0,46.38,7335.0,8289.0,6104.0,5671.0,0
76,0.25,0.3305996050309349,Oklahoma,6.5,24.1,16.1,50.5,74.0,7.8,11.1,25.5,2021-05-02,38.79,3587.0,5108.0,2557.0,2306.0,46.38,7335.0,8289.0,6104.0,5671.0,0
95,0.0,0.6171683489301224,New York,5.8,20.7,16.9,51.4,69.6,17.6,19.3,36.6,2021-05-02,48.29,9161.0,8821.0,7737.0,6565.0,46.38,7335.0,8289.0,6104.0,5671.0,False
97,0.4500000000000001,0.4830524533785844,Florida,5.3,19.7,20.9,51.1,77.3,16.9,26.4,29.9,2021-05-02,42.31,6843.0,7086.0,6248.0,5971.0,46.38,7335.0,8289.0,6104.0,5671.0,0
100,-0.1875,0.5693831949230015,Colorado,5.8,21.9,14.6,49.6,86.9,4.6,21.8,40.9,2021-05-02,47.04,8395.0,10424.0,8231.0,7064.0,46.38,7335.0,8289.0,6104.0,5671.0,0
103,0.0708333333333333,0.599255031847907,Washington,6.0,21.8,15.9,49.9,78.5,4.4,13.0,36.0,2021-05-02,47.31,9335.0,9768.0,7193.0,8372.0,46.38,7335.0,8289.0,6104.0,5671.0,False
107,0.0,0.3930639487814836,Washington,6.0,21.8,15.9,49.9,78.5,4.4,13.0,36.0,2021-05-02,47.31,9335.0,9768.0,7193.0,8372.0,46.38,7335.0,8289.0,6104.0,5671.0,False
110,-0.3075,0.4716927876322047,Texas,6.9,25.5,12.9,50.3,78.7,12.9,39.7,29.9,2021-05-02,38.62,6040.0,7095.0,4977.0,4752.0,46.38,7335.0,8289.0,6104.0,5671.0,0
113,-0.1,0.3817222962793364,Tennessee,6.0,22.1,16.7,51.2,78.4,17.1,5.7,27.3,2021-05-02,34.7,5021.0,6118.0,5263.0,4717.0,46.38,7335.0,8289.0,6104.0,5671.0,0
114,0.35,0.599255031847907,Washington,6.0,21.8,15.9,49.9,78.5,4.4,13.0,36.0,2021-05-02,47.31,9335.0,9768.0,7193.0,8372.0,46.38,7335.0,8289.0,6104.0,5671.0,False
117,0.5,0.4830524533785844,Florida,5.3,19.7,20.9,51.1,77.3,16.9,26.4,29.9,2021-05-02,42.31,6843.0,7086.0,6248.0,5971.0,46.38,7335.0,8289.0,6104.0,5671.0,0
121,0.0,0.4716927876322047,Texas,6.9,25.5,12.9,50.3,78.7,12.9,39.7,29.9,2021-05-02,38.62,6040.0,7095.0,4977.0,4752.0,46.38,7335.0,8289.0,6104.0,5671.0,0
124,0.0,0.5141355934440947,Michigan,5.7,21.5,17.7,50.7,79.2,14.1,5.3,29.1,2021-05-02,43.15,7320.0,8746.0,5817.0,5508.0,46.38,7335.0,8289.0,6104.0,5671.0,0
136,0.25,0.551546869993999,Virginia,5.9,21.8,15.9,50.8,69.4,19.9,9.8,38.8,2021-05-02,47.8,9286.0,10012.0,6804.0,6501.0,46.38,7335.0,8289.0,6104.0,5671.0,0
142,0.0,0.4250657174436865,Kansas,6.4,24.0,16.3,50.2,86.3,6.1,12.2,33.4,2021-05-02,42.9,4772.0,6885.0,4543.0,3174.0,46.38,7335.0,8289.0,6104.0,5671.0,0
143,0.0,0.6490891136066756,California,6.0,22.5,14.8,50.3,71.9,6.5,39.4,33.9,2021-05-02,49.59,8628.0,9786.0,6959.0,7250.0,46.38,7335.0,8289.0,6104.0,5671.0,False
145,-0.05,0.6171683489301224,New York,5.8,20.7,16.9,51.4,69.6,17.6,19.3,36.6,2021-05-02,48.29,9161.0,8821.0,7737.0,6565.0,46.38,7335.0,8289.0,6104.0,5671.0,False
146,0.0,0.599255031847907,Washington,6.0,21.8,15.9,49.9,78.5,4.4,13.0,36.0,2021-05-02,47.31,9335.0,9768.0,7193.0,8372.0,46.38,7335.0,8289.0,6104.0,5671.0,False
153,0.0625,0.599255031847907,Washington,6.0,21.8,15.9,49.9,78.5,4.4,13.0,36.0,2021-05-02,47.31,9335.0,9768.0,7193.0,8372.0,46.38,7335.0,8289.0,6104.0,5671.0,False
156,0.0,0.6711554954014815,Massachusetts,5.2,19.6,17.0,51.5,80.6,9.0,12.4,43.7,2021-05-02,57.3,12192.0,12566.0,10232.0,9030.0,46.38,7335.0,8289.0,6104.0,5671.0,0
161,0.7,0.4716927876322047,Texas,6.9,25.5,12.9,50.3,78.7,12.9,39.7,29.9,2021-05-02,38.62,6040.0,7095.0,4977.0,4752.0,46.38,7335.0,8289.0,6104.0,5671.0,0
165,0.3181818181818182,0.5807128358679484,New Jersey,5.8,21.8,16.6,51.1,71.9,15.1,20.9,39.7,2021-05-02,52.17,8390.0,10279.0,8107.0,6828.0,46.38,7335.0,8289.0,6104.0,5671.0,0
166,0.3181818181818181,0.6171683489301224,New York,5.8,20.7,16.9,51.4,69.6,17.6,19.3,36.6,2021-05-02,48.29,9161.0,8821.0,7737.0,6565.0,46.38,7335.0,8289.0,6104.0,5671.0,False
168,0.1363636363636363,0.5807128358679484,New Jersey,5.8,21.8,16.6,51.1,71.9,15.1,20.9,39.7,2021-05-02,52.17,8390.0,10279.0,8107.0,6828.0,46.38,7335.0,8289.0,6104.0,5671.0,0
174,-0.1,0.5011932966290864,Georgia,6.2,23.6,14.3,51.4,60.2,32.6,9.9,31.3,2021-05-02,35.37,7212.0,6216.0,4564.0,3440.0,46.38,7335.0,8289.0,6104.0,5671.0,0
177,0.0,0.6490891136066756,California,6.0,22.5,14.8,50.3,71.9,6.5,39.4,33.9,2021-05-02,49.59,8628.0,9786.0,6959.0,7250.0,46.38,7335.0,8289.0,6104.0,5671.0,False
178,0.3972727272727273,0.599255031847907,Washington,6.0,21.8,15.9,49.9,78.5,4.4,13.0,36.0,2021-05-02,47.31,9335.0,9768.0,7193.0,8372.0,46.38,7335.0,8289.0,6104.0,5671.0,False
179,0.0,0.4830524533785844,Florida,5.3,19.7,20.9,51.1,77.3,16.9,26.4,29.9,2021-05-02,42.31,6843.0,7086.0,6248.0,5971.0,46.38,7335.0,8289.0,6104.0,5671.0,0
180,0.1363636363636363,0.6702904704709234,Maryland,6.0,22.1,15.9,51.6,58.5,31.1,10.6,40.2,2021-05-02,49.15,8533.0,10932.0,7903.0,8065.0,46.38,7335.0,8289.0,6104.0,5671.0,False
184,0.16,0.6490891136066756,California,6.0,22.5,14.8,50.3,71.9,6.5,39.4,33.9,2021-05-02,49.59,8628.0,9786.0,6959.0,7250.0,46.38,7335.0,8289.0,6104.0,5671.0,False
185,0.0,0.6490891136066756,California,6.0,22.5,14.8,50.3,71.9,6.5,39.4,33.9,2021-05-02,49.59,8628.0,9786.0,6959.0,7250.0,46.38,7335.0,8289.0,6104.0,5671.0,False
186,0.1181818181818181,0.4180495199255704,Indiana,6.2,23.3,16.1,50.7,84.8,9.9,7.3,26.5,2021-05-02,36.63,6196.0,5741.0,5476.0,4997.0,46.38,7335.0,8289.0,6104.0,5671.0,0
189,0.0,0.6171683489301224,New York,5.8,20.7,16.9,51.4,69.6,17.6,19.3,36.6,2021-05-02,48.29,9161.0,8821.0,7737.0,6565.0,46.38,7335.0,8289.0,6104.0,5671.0,False
190,0.4,0.4716927876322047,Texas,6.9,25.5,12.9,50.3,78.7,12.9,39.7,29.9,2021-05-02,38.62,6040.0,7095.0,4977.0,4752.0,46.38,7335.0,8289.0,6104.0,5671.0,0
191,0.0,0.6171683489301224,New York,5.8,20.7,16.9,51.4,69.6,17.6,19.3,36.6,2021-05-02,48.29,9161.0,8821.0,7737.0,6565.0,46.38,7335.0,8289.0,6104.0,5671.0,False
193,0.0,0.4216417935559855,Missouri,6.0,22.3,17.3,50.9,82.9,11.8,4.4,29.2,2021-05-02,38.07,5983.0,6899.0,4226.0,4147.0,46.38,7335.0,8289.0,6104.0,5671.0,0
195,0.0,0.5011932966290864,Georgia,6.2,23.6,14.3,51.4,60.2,32.6,9.9,31.3,2021-05-02,35.37,7212.0,6216.0,4564.0,3440.0,46.38,7335.0,8289.0,6104.0,5671.0,0
199,0.7,0.6490891136066756,California,6.0,22.5,14.8,50.3,71.9,6.5,39.4,33.9,2021-05-02,49.59,8628.0,9786.0,6959.0,7250.0,46.38,7335.0,8289.0,6104.0,5671.0,False
204,1.0,0.3817222962793364,Tennessee,6.0,22.1,16.7,51.2,78.4,17.1,5.7,27.3,2021-05-02,34.7,5021.0,6118.0,5263.0,4717.0,46.38,7335.0,8289.0,6104.0,5671.0,0
205,0.0,0.6490891136066756,California,6.0,22.5,14.8,50.3,71.9,6.5,39.4,33.9,2021-05-02,49.59,8628.0,9786.0,6959.0,7250.0,46.38,7335.0,8289.0,6104.0,5671.0,False
208,0.1363636363636363,0.6702904704709234,Maryland,6.0,22.1,15.9,51.6,58.5,31.1,10.6,40.2,2021-05-02,49.15,8533.0,10932.0,7903.0,8065.0,46.38,7335.0,8289.0,6104.0,5671.0,False
212,0.125,0.599255031847907,Washington,6.0,21.8,15.9,49.9,78.5,4.4,13.0,36.0,2021-05-02,47.31,9335.0,9768.0,7193.0,8372.0,46.38,7335.0,8289.0,6104.0,5671.0,False
215,0.0852272727272727,0.5031906326653399,Wisconsin,5.7,21.8,17.5,50.2,87.0,6.7,7.1,30.1,2021-05-02,46.16,6986.0,9710.0,5385.0,4828.0,46.38,7335.0,8289.0,6104.0,5671.0,0
216,-0.1145833333333333,0.6171683489301224,New York,5.8,20.7,16.9,51.4,69.6,17.6,19.3,36.6,2021-05-02,48.29,9161.0,8821.0,7737.0,6565.0,46.38,7335.0,8289.0,6104.0,5671.0,False
217,0.0018518518518518,0.5058920525934906,Pennsylvania,5.5,20.6,18.7,51.0,81.6,12.0,7.8,31.4,2021-05-02,50.34,8585.0,11270.0,7317.0,6752.0,46.38,7335.0,8289.0,6104.0,5671.0,0
218,0.1,0.4716927876322047,Texas,6.9,25.5,12.9,50.3,78.7,12.9,39.7,29.9,2021-05-02,38.62,6040.0,7095.0,4977.0,4752.0,46.38,7335.0,8289.0,6104.0,5671.0,0
219,0.0,0.6171683489301224,New York,5.8,20.7,16.9,51.4,69.6,17.6,19.3,36.6,2021-05-02,48.29,9161.0,8821.0,7737.0,6565.0,46.38,7335.0,8289.0,6104.0,5671.0,False
220,0.0,0.6059935988395926,Rhode Island,5.1,19.3,17.7,51.3,83.6,8.5,16.3,34.2,2021-05-02,53.29,10196.0,11194.0,7202.0,10133.0,46.38,7335.0,8289.0,6104.0,5671.0,0
221,0.8,0.6490891136066756,California,6.0,22.5,14.8,50.3,71.9,6.5,39.4,33.9,2021-05-02,49.59,8628.0,9786.0,6959.0,7250.0,46.38,7335.0,8289.0,6104.0,5671.0,False
222,0.32,0.6490891136066756,California,6.0,22.5,14.8,50.3,71.9,6.5,39.4,33.9,2021-05-02,49.59,8628.0,9786.0,6959.0,7250.0,46.38,7335.0,8289.0,6104.0,5671.0,False
223,0.0575757575757575,0.6171683489301224,New York,5.8,20.7,16.9,51.4,69.6,17.6,19.3,36.6,2021-05-02,48.29,9161.0,8821.0,7737.0,6565.0,46.38,7335.0,8289.0,6104.0,5671.0,False
224,0.0,0.4250657174436865,Kansas,6.4,24.0,16.3,50.2,86.3,6.1,12.2,33.4,2021-05-02,42.9,4772.0,6885.0,4543.0,3174.0,46.38,7335.0,8289.0,6104.0,5671.0,0
226,0.4,0.6171683489301224,New York,5.8,20.7,16.9,51.4,69.6,17.6,19.3,36.6,2021-05-02,48.29,9161.0,8821.0,7737.0,6565.0,46.38,7335.0,8289.0,6104.0,5671.0,False
227,0.0,0.3817222962793364,Tennessee,6.0,22.1,16.7,51.2,78.4,17.1,5.7,27.3,2021-05-02,34.7,5021.0,6118.0,5263.0,4717.0,46.38,7335.0,8289.0,6104.0,5671.0,0
230,0.0,0.6490891136066756,California,6.0,22.5,14.8,50.3,71.9,6.5,39.4,33.9,2021-05-02,49.59,8628.0,9786.0,6959.0,7250.0,46.38,7335.0,8289.0,6104.0,5671.0,False
231,-0.0625,0.6490891136066756,California,6.0,22.5,14.8,50.3,71.9,6.5,39.4,33.9,2021-05-02,49.59,8628.0,9786.0,6959.0,7250.0,46.38,7335.0,8289.0,6104.0,5671.0,False
235,-0.1145833333333333,0.6171683489301224,New York,5.8,20.7,16.9,51.4,69.6,17.6,19.3,36.6,2021-05-02,48.29,9161.0,8821.0,7737.0,6565.0,46.38,7335.0,8289.0,6104.0,5671.0,False
238,0.0,0.6171683489301224,New York,5.8,20.7,16.9,51.4,69.6,17.6,19.3,36.6,2021-05-02,48.29,9161.0,8821.0,7737.0,6565.0,46.38,7335.0,8289.0,6104.0,5671.0,False
241,0.0,0.4931581746681328,North Carolina,5.8,21.9,16.7,51.4,70.6,22.2,9.8,31.3,2021-05-02,39.64,6001.0,6587.0,4493.0,3248.0,46.38,7335.0,8289.0,6104.0,5671.0,0
242,0.7625000000000001,0.6490891136066756,California,6.0,22.5,14.8,50.3,71.9,6.5,39.4,33.9,2021-05-02,49.59,8628.0,9786.0,6959.0,7250.0,46.38,7335.0,8289.0,6104.0,5671.0,False
243,-0.05,0.6711554954014815,Massachusetts,5.2,19.6,17.0,51.5,80.6,9.0,12.4,43.7,2021-05-02,57.3,12192.0,12566.0,10232.0,9030.0,46.38,7335.0,8289.0,6104.0,5671.0,0
249,0.2083333333333333,0.6490891136066756,California,6.0,22.5,14.8,50.3,71.9,6.5,39.4,33.9,2021-05-02,49.59,8628.0,9786.0,6959.0,7250.0,46.38,7335.0,8289.0,6104.0,5671.0,False
251,0.0,0.4160281990795189,Montana,5.7,21.4,19.3,49.7,88.9,0.6,4.1,32.0,2021-05-02,41.21,5420.0,7216.0,3563.0,3453.0,46.38,7335.0,8289.0,6104.0,5671.0,0
254,0.125,0.3817222962793364,Tennessee,6.0,22.1,16.7,51.2,78.4,17.1,5.7,27.3,2021-05-02,34.7,5021.0,6118.0,5263.0,4717.0,46.38,7335.0,8289.0,6104.0,5671.0,0
255,0.1534090909090908,0.5807128358679484,New Jersey,5.8,21.8,16.6,51.1,71.9,15.1,20.9,39.7,2021-05-02,52.17,8390.0,10279.0,8107.0,6828.0,46.38,7335.0,8289.0,6104.0,5671.0,0
256,0.0,0.6490891136066756,California,6.0,22.5,14.8,50.3,71.9,6.5,39.4,33.9,2021-05-02,49.59,8628.0,9786.0,6959.0,7250.0,46.38,7335.0,8289.0,6104.0,5671.0,False
258,0.0,0.5865904373280693,Illinois,5.9,22.2,16.1,50.9,76.8,14.6,17.5,34.7,2021-05-02,47.19,7108.0,9267.0,5688.0,6290.0,46.38,7335.0,8289.0,6104.0,5671.0,0
260,0.625,0.6019504908807785,Connecticut,5.1,20.4,17.7,51.2,79.7,12.2,16.9,39.3,2021-05-02,55.56,9783.0,11445.0,8491.0,7731.0,46.38,7335.0,8289.0,6104.0,5671.0,0
262,0.225,0.599255031847907,Washington,6.0,21.8,15.9,49.9,78.5,4.4,13.0,36.0,2021-05-02,47.31,9335.0,9768.0,7193.0,8372.0,46.38,7335.0,8289.0,6104.0,5671.0,False
263,0.3,0.6702904704709234,Maryland,6.0,22.1,15.9,51.6,58.5,31.1,10.6,40.2,2021-05-02,49.15,8533.0,10932.0,7903.0,8065.0,46.38,7335.0,8289.0,6104.0,5671.0,False
264,0.2805555555555556,0.6490891136066756,California,6.0,22.5,14.8,50.3,71.9,6.5,39.4,33.9,2021-05-02,49.59,8628.0,9786.0,6959.0,7250.0,46.38,7335.0,8289.0,6104.0,5671.0,False
265,0.0,0.4830524533785844,Florida,5.3,19.7,20.9,51.1,77.3,16.9,26.4,29.9,2021-05-02,42.31,6843.0,7086.0,6248.0,5971.0,46.38,7335.0,8289.0,6104.0,5671.0,0
266,0.0,0.5865904373280693,Illinois,5.9,22.2,16.1,50.9,76.8,14.6,17.5,34.7,2021-05-02,47.19,7108.0,9267.0,5688.0,6290.0,46.38,7335.0,8289.0,6104.0,5671.0,0
267,0.1342592592592592,0.6171683489301224,New York,5.8,20.7,16.9,51.4,69.6,17.6,19.3,36.6,2021-05-02,48.29,9161.0,8821.0,7737.0,6565.0,46.38,7335.0,8289.0,6104.0,5671.0,False
269,-0.1,0.5807128358679484,New Jersey,5.8,21.8,16.6,51.1,71.9,15.1,20.9,39.7,2021-05-02,52.17,8390.0,10279.0,8107.0,6828.0,46.38,7335.0,8289.0,6104.0,5671.0,0
274,0.1363636363636363,0.6171683489301224,New York,5.8,20.7,16.9,51.4,69.6,17.6,19.3,36.6,2021-05-02,48.29,9161.0,8821.0,7737.0,6565.0,46.38,7335.0,8289.0,6104.0,5671.0,False
277,-0.3888888888888889,0.6019504908807785,Connecticut,5.1,20.4,17.7,51.2,79.7,12.2,16.9,39.3,2021-05-02,55.56,9783.0,11445.0,8491.0,7731.0,46.38,7335.0,8289.0,6104.0,5671.0,0
280,0.1375,0.4180495199255704,Indiana,6.2,23.3,16.1,50.7,84.8,9.9,7.3,26.5,2021-05-02,36.63,6196.0,5741.0,5476.0,4997.0,46.38,7335.0,8289.0,6104.0,5671.0,0
281,0.0,0.6490891136066756,California,6.0,22.5,14.8,50.3,71.9,6.5,39.4,33.9,2021-05-02,49.59,8628.0,9786.0,6959.0,7250.0,46.38,7335.0,8289.0,6104.0,5671.0,False
282,0.1363636363636363,0.5551849015171975,New Mexico,5.8,22.7,18.0,50.5,81.9,2.6,49.3,27.3,2021-05-02,51.45,6493.0,7677.0,4096.0,139.0,46.38,7335.0,8289.0,6104.0,5671.0,False
286,0.0,0.6171683489301224,New York,5.8,20.7,16.9,51.4,69.6,17.6,19.3,36.6,2021-05-02,48.29,9161.0,8821.0,7737.0,6565.0,46.38,7335.0,8289.0,6104.0,5671.0,False
287,0.1,0.6171683489301224,New York,5.8,20.7,16.9,51.4,69.6,17.6,19.3,36.6,2021-05-02,48.29,9161.0,8821.0,7737.0,6565.0,46.38,7335.0,8289.0,6104.0,5671.0,False
288,0.0,0.6490891136066756,California,6.0,22.5,14.8,50.3,71.9,6.5,39.4,33.9,2021-05-02,49.59,8628.0,9786.0,6959.0,7250.0,46.38,7335.0,8289.0,6104.0,5671.0,False
289,0.0,0.6490891136066756,California,6.0,22.5,14.8,50.3,71.9,6.5,39.4,33.9,2021-05-02,49.59,8628.0,9786.0,6959.0,7250.0,46.38,7335.0,8289.0,6104.0,5671.0,False
291,0.0,0.6171683489301224,New York,5.8,20.7,16.9,51.4,69.6,17.6,19.3,36.6,2021-05-02,48.29,9161.0,8821.0,7737.0,6565.0,46.38,7335.0,8289.0,6104.0,5671.0,False
292,0.1931818181818181,0.6171683489301224,New York,5.8,20.7,16.9,51.4,69.6,17.6,19.3,36.6,2021-05-03,48.44,8874.0,8664.0,8106.0,6194.0,46.57,7153.0,8206.0,5950.0,5765.0,False
297,0.0185185185185185,0.6019504908807785,Connecticut,5.1,20.4,17.7,51.2,79.7,12.2,16.9,39.3,2021-05-02,55.56,9783.0,11445.0,8491.0,7731.0,46.38,7335.0,8289.0,6104.0,5671.0,0
298,0.25,0.6490891136066756,California,6.0,22.5,14.8,50.3,71.9,6.5,39.4,33.9,2021-05-03,49.79,8066.0,9819.0,7433.0,6883.0,46.57,7153.0,8206.0,5950.0,5765.0,False
301,0.0,0.6711554954014815,Massachusetts,5.2,19.6,17.0,51.5,80.6,9.0,12.4,43.7,2021-05-02,57.3,12192.0,12566.0,10232.0,9030.0,46.38,7335.0,8289.0,6104.0,5671.0,0
302,0.0,0.6711554954014815,Massachusetts,5.2,19.6,17.0,51.5,80.6,9.0,12.4,43.7,2021-05-02,57.3,12192.0,12566.0,10232.0,9030.0,46.38,7335.0,8289.0,6104.0,5671.0,0
303,0.0,0.6171683489301224,New York,5.8,20.7,16.9,51.4,69.6,17.6,19.3,36.6,2021-05-03,48.44,8874.0,8664.0,8106.0,6194.0,46.57,7153.0,8206.0,5950.0,5765.0,False
304,0.0,0.6711554954014815,Massachusetts,5.2,19.6,17.0,51.5,80.6,9.0,12.4,43.7,2021-05-02,57.3,12192.0,12566.0,10232.0,9030.0,46.38,7335.0,8289.0,6104.0,5671.0,0
305,0.3833333333333333,0.6490891136066756,California,6.0,22.5,14.8,50.3,71.9,6.5,39.4,33.9,2021-05-02,49.59,8628.0,9786.0,6959.0,7250.0,46.38,7335.0,8289.0,6104.0,5671.0,False
307,0.25,0.4830524533785844,Florida,5.3,19.7,20.9,51.1,77.3,16.9,26.4,29.9,2021-05-02,42.31,6843.0,7086.0,6248.0,5971.0,46.38,7335.0,8289.0,6104.0,5671.0,0
309,-0.4,0.6490891136066756,California,6.0,22.5,14.8,50.3,71.9,6.5,39.4,33.9,2021-05-03,49.79,8066.0,9819.0,7433.0,6883.0,46.57,7153.0,8206.0,5950.0,5765.0,False
311,0.581640625,0.6490891136066756,California,6.0,22.5,14.8,50.3,71.9,6.5,39.4,33.9,2021-05-03,49.79,8066.0,9819.0,7433.0,6883.0,46.57,7153.0,8206.0,5950.0,5765.0,False
313,0.0,0.6490891136066756,California,6.0,22.5,14.8,50.3,71.9,6.5,39.4,33.9,2021-05-02,49.59,8628.0,9786.0,6959.0,7250.0,46.38,7335.0,8289.0,6104.0,5671.0,False
317,-0.7999999999999999,0.5141355934440947,Michigan,5.7,21.5,17.7,50.7,79.2,14.1,5.3,29.1,2021-05-03,43.25,6868.0,9019.0,6046.0,5404.0,46.57,7153.0,8206.0,5950.0,5765.0,0
318,0.0,0.440733912504179,South Carolina,5.7,21.6,18.2,51.6,68.6,27.0,6.0,28.1,2021-05-03,37.0,5657.0,4534.0,4136.0,3219.0,46.57,7153.0,8206.0,5950.0,5765.0,0
321,0.0,0.3930639487814836,Washington,6.0,21.8,15.9,49.9,78.5,4.4,13.0,36.0,2021-05-02,47.31,9335.0,9768.0,7193.0,8372.0,46.38,7335.0,8289.0,6104.0,5671.0,False
322,0.0,0.6171683489301224,New York,5.8,20.7,16.9,51.4,69.6,17.6,19.3,36.6,2021-05-03,48.44,8874.0,8664.0,8106.0,6194.0,46.57,7153.0,8206.0,5950.0,5765.0,False
324,0.1931818181818181,0.5807128358679484,New Jersey,5.8,21.8,16.6,51.1,71.9,15.1,20.9,39.7,2021-05-03,52.31,7954.0,10192.0,8536.0,6360.0,46.57,7153.0,8206.0,5950.0,5765.0,0
326,0.0,0.5058920525934906,Pennsylvania,5.5,20.6,18.7,51.0,81.6,12.0,7.8,31.4,2021-05-03,50.61,8410.0,11402.0,7121.0,6776.0,46.57,7153.0,8206.0,5950.0,5765.0,0
327,0.2083333333333333,0.3278259157710337,North Dakota,7.1,23.6,15.7,48.8,86.9,3.4,4.1,30.0,2021-05-03,39.47,2802.0,4639.0,2812.0,2035.0,46.57,7153.0,8206.0,5950.0,5765.0,0
328,0.0,0.5141355934440947,Michigan,5.7,21.5,17.7,50.7,79.2,14.1,5.3,29.1,2021-05-03,43.25,6868.0,9019.0,6046.0,5404.0,46.57,7153.0,8206.0,5950.0,5765.0,0
334,0.3181818181818182,0.4830524533785844,Florida,5.3,19.7,20.9,51.1,77.3,16.9,26.4,29.9,2021-05-03,42.45,6370.0,8040.0,6867.0,5538.0,46.57,7153.0,8206.0,5950.0,5765.0,0
335,0.0,0.5015683167912931,Arizona,5.9,22.5,18.0,50.3,82.6,5.2,31.7,29.5,2021-05-02,41.18,5694.0,7199.0,4121.0,4430.0,46.38,7335.0,8289.0,6104.0,5671.0,0
336,0.0714285714285714,0.6490891136066756,California,6.0,22.5,14.8,50.3,71.9,6.5,39.4,33.9,2021-05-02,49.59,8628.0,9786.0,6959.0,7250.0,46.38,7335.0,8289.0,6104.0,5671.0,False
337,0.0,0.6171683489301224,New York,5.8,20.7,16.9,51.4,69.6,17.6,19.3,36.6,2021-05-02,48.29,9161.0,8821.0,7737.0,6565.0,46.38,7335.0,8289.0,6104.0,5671.0,False
339,0.177840909090909,0.6171683489301224,New York,5.8,20.7,16.9,51.4,69.6,17.6,19.3,36.6,2021-05-03,48.44,8874.0,8664.0,8106.0,6194.0,46.57,7153.0,8206.0,5950.0,5765.0,False
343,0.0,0.4180495199255704,Indiana,6.2,23.3,16.1,50.7,84.8,9.9,7.3,26.5,2021-05-02,36.63,6196.0,5741.0,5476.0,4997.0,46.38,7335.0,8289.0,6104.0,5671.0,0
344,0.0,0.6711554954014815,Massachusetts,5.2,19.6,17.0,51.5,80.6,9.0,12.4,43.7,2021-05-02,57.3,12192.0,12566.0,10232.0,9030.0,46.38,7335.0,8289.0,6104.0,5671.0,0
345,0.375,0.6171683489301224,New York,5.8,20.7,16.9,51.4,69.6,17.6,19.3,36.6,2021-05-02,48.29,9161.0,8821.0,7737.0,6565.0,46.38,7335.0,8289.0,6104.0,5671.0,False
346,0.0,0.6711554954014815,Massachusetts,5.2,19.6,17.0,51.5,80.6,9.0,12.4,43.7,2021-05-02,57.3,12192.0,12566.0,10232.0,9030.0,46.38,7335.0,8289.0,6104.0,5671.0,0
348,0.0,0.6711554954014815,Massachusetts,5.2,19.6,17.0,51.5,80.6,9.0,12.4,43.7,2021-05-02,57.3,12192.0,12566.0,10232.0,9030.0,46.38,7335.0,8289.0,6104.0,5671.0,0
349,-0.0666666666666666,0.3930639487814836,Washington,6.0,21.8,15.9,49.9,78.5,4.4,13.0,36.0,2021-05-02,47.31,9335.0,9768.0,7193.0,8372.0,46.38,7335.0,8289.0,6104.0,5671.0,False
350,0.2666666666666666,0.6171683489301224,New York,5.8,20.7,16.9,51.4,69.6,17.6,19.3,36.6,2021-05-03,48.44,8874.0,8664.0,8106.0,6194.0,46.57,7153.0,8206.0,5950.0,5765.0,False
353,0.4875,0.6171683489301224,New York,5.8,20.7,16.9,51.4,69.6,17.6,19.3,36.6,2021-05-03,48.44,8874.0,8664.0,8106.0,6194.0,46.57,7153.0,8206.0,5950.0,5765.0,False
