,sentiment,partisan_lean,state,Age.Percent Under 5 Years,Age.Percent Under 18 Years,Age.Percent 65 and Older,Miscellaneous.Percent Female,Ethnicities.White Alone,Ethnicities.Black Alone,Ethnicities.Hispanic or Latino,Education.Bachelor's Degree or Higher,date,state percent vaccinated,state_rate_0,state_rate-7,state_rate+7,state_rate+14,US percent vaccinated,US_rate_0,US_rate-7,US_rate+7,US_rate+14,lottery
227,0.0958333333333333,0.6490891136066756,California,6.0,22.5,14.8,50.3,71.9,6.5,39.4,33.9,2021-06-28,61.08,3077.0,3779.0,2518.0,1913.0,55.02,1844.0,2219.0,1418.0,1506.0,False
232,0.2244318181818181,0.6171683489301224,New York,5.8,20.7,16.9,51.4,69.6,17.6,19.3,36.6,2021-06-27,59.71,3469.0,4329.0,2257.0,1780.0,54.93,1847.0,2370.0,1486.0,1452.0,False
234,0.0,0.6490891136066756,California,6.0,22.5,14.8,50.3,71.9,6.5,39.4,33.9,2021-06-28,61.08,3077.0,3779.0,2518.0,1913.0,55.02,1844.0,2219.0,1418.0,1506.0,False
235,1.0,0.6171683489301224,New York,5.8,20.7,16.9,51.4,69.6,17.6,19.3,36.6,2021-06-27,59.71,3469.0,4329.0,2257.0,1780.0,54.93,1847.0,2370.0,1486.0,1452.0,False
236,0.0681818181818181,0.6171683489301224,New York,5.8,20.7,16.9,51.4,69.6,17.6,19.3,36.6,2021-06-27,59.71,3469.0,4329.0,2257.0,1780.0,54.93,1847.0,2370.0,1486.0,1452.0,False
0,0.78125,0.5058920525934906,Pennsylvania,5.5,20.6,18.7,51.0,81.6,12.0,7.8,31.4,2021-06-05,59.39,3940.0,5031.0,3772.0,4013.0,52.92,2882.0,3569.0,3111.0,2420.0,0
3,0.0,0.4160281990795189,Montana,5.7,21.4,19.3,49.7,88.9,0.6,4.1,32.0,2021-06-05,45.38,630.0,2487.0,4337.0,2297.0,52.92,2882.0,3569.0,3111.0,2420.0,0
6,0.5,0.4160281990795189,Montana,5.7,21.4,19.3,49.7,88.9,0.6,4.1,32.0,2021-06-05,45.38,630.0,2487.0,4337.0,2297.0,52.92,2882.0,3569.0,3111.0,2420.0,0
13,0.5,0.6702904704709234,Maryland,6.0,22.1,15.9,51.6,58.5,31.1,10.6,40.2,2021-06-05,58.13,3127.0,7157.0,4244.0,5577.0,52.92,2882.0,3569.0,3111.0,2420.0,True
17,0.2857142857142857,0.6490891136066756,California,6.0,22.5,14.8,50.3,71.9,6.5,39.4,33.9,2021-06-05,57.74,3846.0,4890.0,3998.0,4012.0,52.92,2882.0,3569.0,3111.0,2420.0,True
30,-0.0333333333333333,0.3817222962793364,Tennessee,6.0,22.1,16.7,51.2,78.4,17.1,5.7,27.3,2021-06-05,39.58,1717.0,2419.0,1627.0,3249.0,52.92,2882.0,3569.0,3111.0,2420.0,0
40,0.0,0.3817222962793364,Tennessee,6.0,22.1,16.7,51.2,78.4,17.1,5.7,27.3,2021-06-05,39.58,1717.0,2419.0,1627.0,3249.0,52.92,2882.0,3569.0,3111.0,2420.0,0
41,0.075,0.6490891136066756,California,6.0,22.5,14.8,50.3,71.9,6.5,39.4,33.9,2021-06-05,57.74,3846.0,4890.0,3998.0,4012.0,52.92,2882.0,3569.0,3111.0,2420.0,True
44,0.0,0.5011932966290864,Georgia,6.2,23.6,14.3,51.4,60.2,32.6,9.9,31.3,2021-06-05,40.55,4998.0,1437.0,2032.0,2194.0,52.92,2882.0,3569.0,3111.0,2420.0,0
56,0.500625,0.599255031847907,Washington,6.0,21.8,15.9,49.9,78.5,4.4,13.0,36.0,2021-06-05,57.34,3574.0,7058.0,5236.0,5104.0,52.92,2882.0,3569.0,3111.0,2420.0,True
60,0.0375,0.512231173400438,Nevada,6.0,22.5,16.1,49.8,73.9,10.3,29.2,24.7,2021-06-05,46.08,2102.0,3552.0,3363.0,3190.0,52.92,2882.0,3569.0,3111.0,2420.0,0
